"","count","DistanciaN","Distancia","Segregation","costoCupo","costoCurrentSolution","temp","conf","count_replica","experiment"
"301",1002638,0.2455834939364,3.7191013066237,0.0174181070713,0.0245563616566,0.0688600666085,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",29,"exp7"
"311",1005431,0.2450575706902,3.7111367573754,0.0163429795512,0.0252064749877,0.0685187831654,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp7",30,"exp7"
"1110",1004885,0.2451266642653,3.7121831062214,0.0181502350306,0.0253859939562,0.0693722409115,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp9",1,"exp9"
"1210",1005576,0.2443683563581,3.700699337978,0.0213170984799,0.0242652249629,0.070166698912,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp9",2,"exp9"
"132",1005642,0.2439965464529,3.6950686716748,0.0224769690772,0.0251690221923,0.0709068974845,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp9",3,"exp9"
"142",1000590,0.2456408182342,3.7199694222587,0.0267667361462,0.0259942307253,0.0733924303719,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp9",4,"exp9"
"152",1003924,0.2459053033804,3.7239747690234,0.0261043441036,0.024655004007,0.0726869281998,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp9",5,"exp9"
"162",1002299,0.2458970585301,3.7238499095188,0.023352596122,0.0237477231156,0.0711818119929,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp9",6,"exp9"
"172",1000012,0.2436809221743,3.6902888770387,0.0238819896842,0.025103304003,0.0714179446174,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp9",7,"exp9"
"182",1002299,0.2458970585301,3.7238499095188,0.023352596122,0.0237477231156,0.0711818119929,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp9",8,"exp9"
"192",1005150,0.245041245792,3.7108895341223,0.0226854440989,0.0246722637888,0.071042694351,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp9",9,"exp9"
"110",1005116,0.2449898377338,3.7101110136543,0.0184545542413,0.0235195404913,0.0688067529361,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp9",10,"exp9"
"1111",996359,0.2452401231229,3.7139013201722,0.0273491285644,0.0244873387129,0.0730179881657,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp9",11,"exp9"
"112",1004984,0.2459720133889,3.7249850212831,0.0209270775849,0.0263357786064,0.0710826713363,9.00143e-08,"10 9e-08 0.98 -1 -1 -1 -1 -1 1 0.99 -1 exp9",12,"exp9"
